model,run_id,configuration,annual_return,total_return,sharpe,max_drawdown,excess_annual_return,excess_sharpe,mean_rank_ic,icir,positive_ic_ratio,turnover,total_fees,trade_count,average_target_exposure,minimum_target_exposure,pca_variance,residual_weight,selection
LinearRegression,run_20260716_134040_linear_regression,linear_baseline,0.102458,0.097774,0.442974,-0.376873,0.082542,0.472563,0.049688,0.355183,0.669421,43.424043,5313859.64,8726,,,,,baseline
Ridge,run_20260716_134359_ridge,ridge_baseline,0.069729,0.066586,0.375468,-0.423709,0.050405,0.322088,0.043420,0.286052,0.636364,57.918302,6962743.64,11624,,,,,baseline
ElasticNet,run_20260716_125706_elasticnet,elasticnet_old_missing_order,-0.036902,-0.035320,0.147072,-0.451347,-0.054300,-0.064305,0.049235,0.298642,0.657025,72.945187,8128484.35,14660,,,,,rerun_required
XGBoost,run_20260716_130042_xgboost,xgboost_baseline,0.021218,0.020283,0.267405,-0.433148,0.002770,0.137987,0.048082,0.309185,0.648760,64.036420,7477795.96,12992,,,,,baseline
StyleRotation,run_20260716_134902_style_rotation,no_execution_optimizer,0.168316,0.160410,0.585481,-0.341244,0.147211,0.755713,0.041427,0.345336,0.665289,64.958332,8474943.39,12836,,,0.90,0.50,historical_unoptimized
StyleRotation,run_20260716_135539_style_rotation,lazy_turnover_plus_hard_freeze,0.111949,0.106811,0.466194,-0.334266,0.091862,0.537943,0.041427,0.345336,0.665289,19.150273,2394989.25,3600,,,0.90,0.50,rejected_freeze
StyleRotation,run_20260716_150455_style_rotation,pca95_residual1_qp,0.174680,0.166453,0.775419,-0.181503,0.153459,0.879833,0.032802,0.259290,0.636364,21.739429,2897124.33,28949,0.562871,0.30,0.95,1.00,return_challenger
StyleRotation,run_20260716_155447_style_rotation,pca95_residual03_alpha001_qp,0.164169,0.156470,0.729083,-0.176642,0.143139,0.823774,0.033518,0.312213,0.669421,13.777477,1831432.12,22007,0.564992,0.30,0.95,0.30,return_cost_challenger
StyleRotation,run_20260716_161418_style_rotation,pca95_no_residual_qp,0.154986,0.147744,0.719048,-0.172068,0.134121,0.768520,0.039961,0.389070,0.677686,19.864425,2643135.22,27495,0.563052,0.30,0.95,0.00,pca95_candidate
StyleRotation,run_20260716_165342_style_rotation,pca90_no_residual_lazy_qp,0.151642,0.144566,0.677249,-0.170551,0.130838,0.751156,0.039642,0.396692,0.673554,15.817906,2098350.01,22982,0.590479,0.30,0.90,0.00,current_best
